,emotion,statements,situation,gender
datasources\LDC_male\wav\5HA1s2720.wav,hot anger,august eighteenth,conversation,male
datasources\LDC_male\wav\5HA1s2721.wav,hot anger,august eighteenth,conversation,male
datasources\LDC_male\wav\5HA1s2730.wav,hot anger,four hundred one,conversation,male
datasources\LDC_male\wav\5HA1s2731.wav,hot anger,four hundred one,conversation,male
datasources\LDC_male\wav\5HA1s2740.wav,hot anger,june seventeenth,conversation,male
datasources\LDC_male\wav\5HA1s2741.wav,hot anger,june seventeenth,conversation,male
datasources\LDC_male\wav\5HA1s2750.wav,hot anger,nine hundred two,conversation,male
datasources\LDC_male\wav\5HA1s2760.wav,hot anger,september fourth,conversation,male
datasources\LDC_male\wav\5HA1s2761.wav,hot anger,september fourth,conversation,male
datasources\LDC_male\wav\5HA1s2770.wav,hot anger,six thousand four,conversation,male
datasources\LDC_male\wav\5HA1s2771.wav,hot anger,six thousand four,conversation,male
datasources\LDC_male\wav\5HA1s2780.wav,hot anger,three hundred one,conversation,male
datasources\LDC_male\wav\5HA1s2781.wav,hot anger,three hundred one,conversation,male
datasources\LDC_male\wav\5HA1s3090.wav,hot anger,one one thousand six,conversation,male
datasources\LDC_male\wav\5HA1s3100.wav,hot anger,two thousand and eight,conversation,male
datasources\LDC_male\wav\5HA1s3390.wav,hot anger,may twenty-eighth,conversation,male
datasources\LDC_male\wav\5HP1s0630.wav,happy,march thirtieth,conversation,male
datasources\LDC_male\wav\5HP1s0631.wav,happy,march thirtieth,conversation,male
datasources\LDC_male\wav\5HP1s0670.wav,happy,one hundred eight,conversation,male
datasources\LDC_male\wav\5HP1s0671.wav,happy,one hundred eight,conversation,male
datasources\LDC_male\wav\5HP1s0672.wav,happy,one hundred eight,conversation,male
datasources\LDC_male\wav\5HP1s1290.wav,happy,december sixth,conversation,male
datasources\LDC_male\wav\5HP1s1291.wav,happy,december sixth,conversation,male
datasources\LDC_male\wav\5HP1s1310.wav,happy,eight hundred three,conversation,male
datasources\LDC_male\wav\5HP1s1311.wav,happy,eight hundred three,conversation,male
datasources\LDC_male\wav\5HP1s1420.wav,happy,four thousand three,conversation,male
datasources\LDC_male\wav\5HP1s1421.wav,happy,four thousand three,conversation,male
datasources\LDC_male\wav\5HP1s1580.wav,happy,november tenth,conversation,male
datasources\LDC_male\wav\5HP1s1581.wav,happy,november tenth,conversation,male
datasources\LDC_male\wav\5HP1s1582.wav,happy,november tenth,conversation,male
datasources\LDC_male\wav\5HP1s1730.wav,happy,ten thousand four,conversation,male
datasources\LDC_male\wav\5HP1s1731.wav,happy,ten thousand four,conversation,male
datasources\LDC_male\wav\5HP1s1732.wav,happy,ten thousand four,conversation,male
datasources\LDC_male\wav\5HP1s2030.wav,happy,five thousand eight,conversation,male
datasources\LDC_male\wav\5HP1s2031.wav,happy,five thousand eight,conversation,male
datasources\LDC_male\wav\5HP1s2170.wav,happy,three thousand three,conversation,male
datasources\LDC_male\wav\5HP1s2171.wav,happy,three thousand three,conversation,male
datasources\LDC_male\wav\5HP1s2172.wav,happy,three thousand three,conversation,male
datasources\LDC_male\wav\5HP1s3510.wav,happy,seventy-six,conversation,male
datasources\LDC_male\wav\5NT1s0060.wav,neutral,nine thousand six,conversation,male
datasources\LDC_male\wav\5NT1s0061.wav,neutral,nine thousand six,conversation,male
datasources\LDC_male\wav\5NT1s0270.wav,neutral,november fifth,conversation,male
datasources\LDC_male\wav\5NT1s0271.wav,neutral,november fifth,conversation,male
datasources\LDC_male\wav\5NT1s0450.wav,neutral,july seventh,conversation,male
datasources\LDC_male\wav\5NT1s0451.wav,neutral,july seventh,conversation,male
datasources\LDC_male\wav\5NT1s0470.wav,neutral,nine hundred six,conversation,male
datasources\LDC_male\wav\5NT1s0780.wav,neutral,two thousand ten,conversation,male
datasources\LDC_male\wav\5NT1s0890.wav,neutral,five hundred two,conversation,male
datasources\LDC_male\wav\5NT1s0891.wav,neutral,five hundred two,conversation,male
datasources\LDC_male\wav\5NT1s0940.wav,neutral,three thousand ten,conversation,male
datasources\LDC_male\wav\5NT1s0941.wav,neutral,three thousand ten,conversation,male
datasources\LDC_male\wav\5NT1s0950.wav,neutral,december tenth,conversation,male
datasources\LDC_male\wav\5NT1s0951.wav,neutral,december tenth,conversation,male
datasources\LDC_male\wav\5NT1s0980.wav,neutral,four thousand twelve,conversation,male
datasources\LDC_male\wav\5NT1s0981.wav,neutral,four thousand twelve,conversation,male
datasources\LDC_male\wav\5NT1s1820.wav,neutral,two thousand four,conversation,male
datasources\LDC_male\wav\5NT1s1821.wav,neutral,two thousand four,conversation,male
datasources\LDC_male\wav\5NT1s1830.wav,neutral,two thousand nine,conversation,male
datasources\LDC_male\wav\5NT1s1840.wav,neutral,two thousand one,conversation,male
datasources\LDC_male\wav\5NT1s1841.wav,neutral,two thousand one,conversation,male
datasources\LDC_male\wav\5NT1s1850.wav,neutral,two thousand six,conversation,male
datasources\LDC_male\wav\5NT1s1860.wav,neutral,two thousand three,conversation,male
datasources\LDC_male\wav\5NT1s1861.wav,neutral,two thousand three,conversation,male
datasources\LDC_male\wav\5NT1s1870.wav,neutral,two thousand twelve,conversation,male
datasources\LDC_male\wav\5NT1s1880.wav,neutral,two thousand two,conversation,male
datasources\LDC_male\wav\5NT1s1881.wav,neutral,two thousand two,conversation,male
datasources\LDC_male\wav\5NT1s1882.wav,neutral,two thousand two,conversation,male
datasources\LDC_male\wav\5NT1s1970.wav,neutral,three hundred ten,conversation,male
datasources\LDC_male\wav\5NT1s2120.wav,neutral,one hundred nine,conversation,male
datasources\LDC_male\wav\5NT1s2121.wav,neutral,one hundred nine,conversation,male
datasources\LDC_male\wav\5NT1s2190.wav,neutral,august second,conversation,male
datasources\LDC_male\wav\5NT1s2191.wav,neutral,august second,conversation,male
datasources\LDC_male\wav\5NT1s2210.wav,neutral,four hundred twelve,conversation,male
datasources\LDC_male\wav\5NT1s2300.wav,neutral,eight thousand one,conversation,male
datasources\LDC_male\wav\5NT1s2301.wav,neutral,eight thousand one,conversation,male
datasources\LDC_male\wav\5NT1s2302.wav,neutral,eight thousand one,conversation,male
datasources\LDC_male\wav\5NT1s2360.wav,neutral,ten thousand two,conversation,male
datasources\LDC_male\wav\5NT1s2380.wav,neutral,april fourteenth,conversation,male
datasources\LDC_male\wav\5NT1s2400.wav,neutral,five thousand two,conversation,male
datasources\LDC_male\wav\5NT1s2401.wav,neutral,five thousand two,conversation,male
datasources\LDC_male\wav\5NT1s2450.wav,neutral,two hundred six,conversation,male
datasources\LDC_male\wav\5NT1s2470.wav,neutral,eight hundred one,conversation,male
datasources\LDC_male\wav\5NT1s2670.wav,neutral,one thousand nine,conversation,male
datasources\LDC_male\wav\5NT1s2760.wav,neutral,september fourth,conversation,male
datasources\LDC_male\wav\5NT1s2761.wav,neutral,september fourth,conversation,male
datasources\LDC_male\wav\5NT1s2762.wav,neutral,september fourth,conversation,male
datasources\LDC_male\wav\5NT1s2770.wav,neutral,six thousand four,conversation,male
datasources\LDC_male\wav\5NT1s2890.wav,neutral,october first,conversation,male
datasources\LDC_male\wav\5NT1s2891.wav,neutral,october first,conversation,male
datasources\LDC_male\wav\5NT1s2910.wav,neutral,six hundred four,conversation,male
datasources\LDC_male\wav\5NT1s3200.wav,neutral,fifty-seven,conversation,male
datasources\LDC_male\wav\5NT1s3201.wav,neutral,fifty-seven,conversation,male
datasources\LDC_male\wav\5NT1s3250.wav,neutral,june twenty-first,conversation,male
datasources\LDC_male\wav\5NT1s3310.wav,neutral,march twenty-eighth,conversation,male
datasources\LDC_male\wav\5NT1s3311.wav,neutral,march twenty-eighth,conversation,male
datasources\LDC_male\wav\5NT1s3312.wav,neutral,march twenty-eighth,conversation,male
datasources\LDC_male\wav\5NT1s3380.wav,neutral,may thirty-first,conversation,male
datasources\LDC_male\wav\5NT1s3470.wav,neutral,seventy-five,conversation,male
datasources\LDC_male\wav\5NT1s3471.wav,neutral,seventy-five,conversation,male
datasources\LDC_male\wav\5NT1s3540.wav,neutral,sixty-seven,conversation,male
datasources\LDC_male\wav\5NT1s3541.wav,neutral,sixty-seven,conversation,male
datasources\LDC_male\wav\5NT2s0030.wav,neutral,five hundred nine,distant,male
datasources\LDC_male\wav\5NT2s0031.wav,neutral,five hundred nine,distant,male
datasources\LDC_male\wav\5NT2s0032.wav,neutral,five hundred nine,distant,male
datasources\LDC_male\wav\5NT2s0090.wav,neutral,three thousand eight,distant,male
datasources\LDC_male\wav\5NT2s0091.wav,neutral,three thousand eight,distant,male
datasources\LDC_male\wav\5NT2s0092.wav,neutral,three thousand eight,distant,male
datasources\LDC_male\wav\5NT2s0210.wav,neutral,december eighth,distant,male
datasources\LDC_male\wav\5NT2s0240.wav,neutral,four thousand four,distant,male
datasources\LDC_male\wav\5NT2s0241.wav,neutral,four thousand four,distant,male
datasources\LDC_male\wav\5NT2s0430.wav,neutral,eight thousand twelve,distant,male
datasources\LDC_male\wav\5NT2s0431.wav,neutral,eight thousand twelve,distant,male
datasources\LDC_male\wav\5NT2s0510.wav,neutral,three hundred eight,distant,male
datasources\LDC_male\wav\5NT2s0511.wav,neutral,three hundred eight,distant,male
datasources\LDC_male\wav\5NT2s0920.wav,neutral,november sixth,distant,male
datasources\LDC_male\wav\5NT2s0921.wav,neutral,november sixth,distant,male
datasources\LDC_male\wav\5NT2s0960.wav,neutral,eight hundred twelve,distant,male
datasources\LDC_male\wav\5NT2s0961.wav,neutral,eight hundred twelve,distant,male
datasources\LDC_male\wav\5NT2s1030.wav,neutral,ten thousand nine,distant,male
datasources\LDC_male\wav\5NT2s1840.wav,neutral,two thousand one,distant,male
datasources\LDC_male\wav\5NT2s1841.wav,neutral,two thousand one,distant,male
datasources\LDC_male\wav\5NT2s1940.wav,neutral,one thousand three,distant,male
datasources\LDC_male\wav\5NT2s1941.wav,neutral,one thousand three,distant,male
datasources\LDC_male\wav\5NT2s1942.wav,neutral,one thousand three,distant,male
datasources\LDC_male\wav\5NT2s1943.wav,neutral,one thousand three,distant,male
datasources\LDC_male\wav\5NT2s2250.wav,neutral,september third,distant,male
datasources\LDC_male\wav\5NT2s2251.wav,neutral,september third,distant,male
datasources\LDC_male\wav\5NT2s2260.wav,neutral,six thousand ten,distant,male
datasources\LDC_male\wav\5NT2s2350.wav,neutral,one hundred three,distant,male
datasources\LDC_male\wav\5NT2s2351.wav,neutral,one hundred three,distant,male
datasources\LDC_male\wav\5NT2s2352.wav,neutral,one hundred three,distant,male
datasources\LDC_male\wav\5NT2s2420.wav,neutral,october tenth,distant,male
datasources\LDC_male\wav\5NT2s2421.wav,neutral,october tenth,distant,male
datasources\LDC_male\wav\5NT2s2440.wav,neutral,six hundred ten,distant,male
datasources\LDC_male\wav\5NT2s2510.wav,neutral,nine thousand two,distant,male
datasources\LDC_male\wav\5NT2s2511.wav,neutral,nine thousand two,distant,male
datasources\LDC_male\wav\5NT2s2512.wav,neutral,nine thousand two,distant,male
datasources\LDC_male\wav\5NT2s2640.wav,neutral,april sixteenth,distant,male
datasources\LDC_male\wav\5NT2s2650.wav,neutral,four hundred four,distant,male
datasources\LDC_male\wav\5NT2s2651.wav,neutral,four hundred four,distant,male
datasources\LDC_male\wav\5NT2s2710.wav,neutral,two hundred two,distant,male
datasources\LDC_male\wav\5NT2s2711.wav,neutral,two hundred two,distant,male
datasources\LDC_male\wav\5NT2s2712.wav,neutral,two hundred two,distant,male
datasources\LDC_male\wav\5NT2s2740.wav,neutral,june seventeenth,distant,male
datasources\LDC_male\wav\5NT2s2750.wav,neutral,nine hundred two,distant,male
datasources\LDC_male\wav\5NT2s2751.wav,neutral,nine hundred two,distant,male
datasources\LDC_male\wav\5NT2s2752.wav,neutral,nine hundred two,distant,male
datasources\LDC_male\wav\5NT2s2810.wav,neutral,five thousand nine,distant,male
datasources\LDC_male\wav\5NT2s2811.wav,neutral,five thousand nine,distant,male
datasources\LDC_male\wav\5NT2s2820.wav,neutral,fourteen sixty,distant,male
datasources\LDC_male\wav\5NT2s2821.wav,neutral,fourteen sixty,distant,male
datasources\LDC_male\wav\5NT2s2822.wav,neutral,fourteen sixty,distant,male
datasources\LDC_male\wav\5NT2s2830.wav,neutral,january,distant,male
datasources\LDC_male\wav\5NT2s2930.wav,neutral,twelve and a half,distant,male
datasources\LDC_male\wav\5NT2s3290.wav,neutral,june twenty-third,distant,male
datasources\LDC_male\wav\5NT2s3350.wav,neutral,march twenty-ninth,distant,male
datasources\LDC_male\wav\5NT2s3410.wav,neutral,may twenty-first,distant,male
datasources\LDC_male\wav\5NT2s3500.wav,neutral,seventy-one,distant,male
datasources\LDC_male\wav\5NT2s3501.wav,neutral,seventy-one,distant,male
datasources\LDC_male\wav\5NT3s0070.wav,neutral,seven hundred,tete a tete,male
datasources\LDC_male\wav\5NT3s0071.wav,neutral,seven hundred,tete a tete,male
datasources\LDC_male\wav\5NT3s0072.wav,neutral,seven hundred,tete a tete,male
datasources\LDC_male\wav\5NT3s0073.wav,neutral,seven hundred,tete a tete,male
datasources\LDC_male\wav\5NT3s0220.wav,neutral,eight hundred four,tete a tete,male
datasources\LDC_male\wav\5NT3s0221.wav,neutral,eight hundred four,tete a tete,male
datasources\LDC_male\wav\5NT3s0290.wav,neutral,sixteen hundred,tete a tete,male
datasources\LDC_male\wav\5NT3s0291.wav,neutral,sixteen hundred,tete a tete,male
datasources\LDC_male\wav\5NT3s0460.wav,neutral,may seventeenth,tete a tete,male
datasources\LDC_male\wav\5NT3s0461.wav,neutral,may seventeenth,tete a tete,male
datasources\LDC_male\wav\5NT3s0490.wav,neutral,one thousand five,tete a tete,male
datasources\LDC_male\wav\5NT3s0491.wav,neutral,one thousand five,tete a tete,male
datasources\LDC_male\wav\5NT3s0770.wav,neutral,two thousand five,tete a tete,male
datasources\LDC_male\wav\5NT3s0771.wav,neutral,two thousand five,tete a tete,male
datasources\LDC_male\wav\5NT3s0780.wav,neutral,two thousand ten,tete a tete,male
datasources\LDC_male\wav\5NT3s0781.wav,neutral,two thousand ten,tete a tete,male
datasources\LDC_male\wav\5NT3s0870.wav,neutral,december ninth,tete a tete,male
datasources\LDC_male\wav\5NT3s0900.wav,neutral,four thousand ten,tete a tete,male
datasources\LDC_male\wav\5NT3s1010.wav,neutral,one hundred five,tete a tete,male
datasources\LDC_male\wav\5NT3s1011.wav,neutral,one hundred five,tete a tete,male
datasources\LDC_male\wav\5NT3s1150.wav,neutral,fifteen hundred,tete a tete,male
datasources\LDC_male\wav\5NT3s1151.wav,neutral,fifteen hundred,tete a tete,male
datasources\LDC_male\wav\5NT3s1480.wav,neutral,march twentieth,tete a tete,male
datasources\LDC_male\wav\5NT3s1890.wav,neutral,august fourteenth,tete a tete,male
datasources\LDC_male\wav\5NT3s1891.wav,neutral,august fourteenth,tete a tete,male
datasources\LDC_male\wav\5NT3s1910.wav,neutral,four hundred ten,tete a tete,male
datasources\LDC_male\wav\5NT3s1911.wav,neutral,four hundred ten,tete a tete,male
datasources\LDC_male\wav\5NT3s2230.wav,neutral,nine hundred nine,tete a tete,male
datasources\LDC_male\wav\5NT3s2290.wav,neutral,april eighteenth,tete a tete,male
datasources\LDC_male\wav\5NT3s2291.wav,neutral,april eighteenth,tete a tete,male
datasources\LDC_male\wav\5NT3s2310.wav,neutral,five thousand three,tete a tete,male
datasources\LDC_male\wav\5NT3s2311.wav,neutral,five thousand three,tete a tete,male
datasources\LDC_male\wav\5NT3s2370.wav,neutral,two hundred nine,tete a tete,male
datasources\LDC_male\wav\5NT3s2371.wav,neutral,two hundred nine,tete a tete,male
datasources\LDC_male\wav\5NT3s2372.wav,neutral,two hundred nine,tete a tete,male
datasources\LDC_male\wav\5NT3s2480.wav,neutral,five hundred three,tete a tete,male
datasources\LDC_male\wav\5NT3s2481.wav,neutral,five hundred three,tete a tete,male
datasources\LDC_male\wav\5NT3s2550.wav,neutral,three thousand one,tete a tete,male
datasources\LDC_male\wav\5NT3s2551.wav,neutral,three thousand one,tete a tete,male
datasources\LDC_male\wav\5NT3s2552.wav,neutral,three thousand one,tete a tete,male
datasources\LDC_male\wav\5NT3s2680.wav,neutral,september fifth,tete a tete,male
datasources\LDC_male\wav\5NT3s2681.wav,neutral,september fifth,tete a tete,male
datasources\LDC_male\wav\5NT3s2682.wav,neutral,september fifth,tete a tete,male
datasources\LDC_male\wav\5NT3s2690.wav,neutral,six thousand eight,tete a tete,male
datasources\LDC_male\wav\5NT3s2691.wav,neutral,six thousand eight,tete a tete,male
datasources\LDC_male\wav\5NT3s2780.wav,neutral,three hundred one,tete a tete,male
datasources\LDC_male\wav\5NT3s2781.wav,neutral,three hundred one,tete a tete,male
datasources\LDC_male\wav\5NT3s2782.wav,neutral,three hundred one,tete a tete,male
datasources\LDC_male\wav\5NT3s2800.wav,neutral,eight thousand four,tete a tete,male
datasources\LDC_male\wav\5NT3s2801.wav,neutral,eight thousand four,tete a tete,male
datasources\LDC_male\wav\5NT3s2870.wav,neutral,nine thousand nine,tete a tete,male
datasources\LDC_male\wav\5NT3s2871.wav,neutral,nine thousand nine,tete a tete,male
datasources\LDC_male\wav\5NT3s2872.wav,neutral,nine thousand nine,tete a tete,male
datasources\LDC_male\wav\5NT3s2880.wav,neutral,october eighth,tete a tete,male
datasources\LDC_male\wav\5NT3s2881.wav,neutral,october eighth,tete a tete,male
datasources\LDC_male\wav\5NT3s2900.wav,neutral,six hundred eight,tete a tete,male
datasources\LDC_male\wav\5NT3s2901.wav,neutral,six hundred eight,tete a tete,male
datasources\LDC_male\wav\5NT3s2920.wav,neutral,ten thousand three,tete a tete,male
datasources\LDC_male\wav\5NT3s2921.wav,neutral,ten thousand three,tete a tete,male
datasources\LDC_male\wav\5NT3s3110.wav,neutral,it's Four thousand ten,tete a tete,male
datasources\LDC_male\wav\5NT3s3230.wav,neutral,june twenty-eighth,tete a tete,male
datasources\LDC_male\wav\5NT3s3231.wav,neutral,june twenty-eighth,tete a tete,male
datasources\LDC_male\wav\5NT3s3300.wav,neutral,march thirty-first,tete a tete,male
datasources\LDC_male\wav\5NT3s3301.wav,neutral,march thirty-first,tete a tete,male
datasources\LDC_male\wav\5NT3s3450.wav,neutral,may twenty-third,tete a tete,male
datasources\LDC_male\wav\5NT3s3451.wav,neutral,may twenty-third,tete a tete,male
datasources\LDC_male\wav\5SN1s2610.wav,sadness,one hundred six,conversation,male
datasources\LDC_male\wav\5SN1s2611.wav,sadness,one hundred six,conversation,male
datasources\LDC_male\wav\5SN1s2820.wav,sadness,fourteen sixty,conversation,male
datasources\LDC_male\wav\5SN1s2830.wav,sadness,january,conversation,male
datasources\LDC_male\wav\5SN1s2890.wav,sadness,october first,conversation,male
datasources\LDC_male\wav\5SN1s2910.wav,sadness,six hundred four,conversation,male
datasources\LDC_male\wav\5SN1s2911.wav,sadness,six hundred four,conversation,male
datasources\LDC_male\wav\5SN1s2920.wav,sadness,ten thousand three,conversation,male
datasources\LDC_male\wav\5SN1s2921.wav,sadness,ten thousand three,conversation,male
datasources\LDC_male\wav\5SN1s2970.wav,sadness,five thousand six,conversation,male
datasources\LDC_male\wav\5SN1s2971.wav,sadness,five thousand six,conversation,male
datasources\LDC_male\wav\5SN1s2990.wav,sadness,two hundred five,conversation,male
datasources\LDC_male\wav\5SN1s2991.wav,sadness,two hundred five,conversation,male
datasources\LDC_male\wav\5SN1s3130.wav,sadness,fourteen sixty two,conversation,male
datasources\LDC_male\wav\5SN1s3131.wav,sadness,fourteen sixty two,conversation,male
datasources\LDC_male\wav\5SN1s3132.wav,sadness,fourteen sixty two,conversation,male
datasources\LDC_male\wav\5SN1s3133.wav,sadness,fourteen sixty two,conversation,male
datasources\LDC_male\wav\5SN1s3140.wav,sadness,sixty two,conversation,male
datasources\LDC_male\wav\5SN1s3330.wav,sadness,march twenty-first,conversation,male
datasources\LDC_male\wav\5SN1s3331.wav,sadness,march twenty-first,conversation,male
