,emotion,statements,gender,mfcc
datasources\EMO_DB\EMO_DB_DATA\wav\13a04Ac.wav,anxiety/fear,I could tell him Tonight,female,"[-287.92120361328125, 172.4206085205078, -32.168697357177734, 8.909027099609375, 45.968563079833984, -8.397245407104492, 1.3211828470230103, 22.28203010559082, -4.454686641693115, 0.8876872062683105, 15.017671585083008, -0.2274681180715561, 1.8751360177993774, 3.7020814418792725, -11.19331169128418, 0.36454784870147705, 11.799680709838867, -4.771172523498535, -5.650124549865723, 3.5135395526885986]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a04Fc.wav,happiness,I could tell him Tonight,female,"[-314.8733825683594, 127.53036499023438, -10.580426216125488, 0.35240137577056885, 20.062820434570312, -6.557595252990723, 1.1745493412017822, 7.359151363372803, -12.252371788024902, -3.6589043140411377, 9.148242950439453, -1.9687752723693848, -1.8379240036010742, -1.2558330297470093, -14.2347412109375, -7.752033710479736, 4.340394973754883, -4.904927730560303, -8.784672737121582, -1.5374394655227661]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a04Lb.wav,boredom,I could tell him Tonight,female,"[-297.6226501464844, 183.2398223876953, -28.20284652709961, 11.221880912780762, 54.076114654541016, -0.4672549366950989, 4.978736400604248, 25.161945343017578, -7.132725715637207, -5.325498580932617, 16.832679748535156, 1.7525582313537598, -4.263110637664795, 3.0573558807373047, -8.022307395935059, -8.000085830688477, 3.7212460041046143, 0.5962162017822266, -0.7161543965339661, 1.1093629598617554]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a04Ta.wav,sadness,I could tell him Tonight,female,"[-304.0096740722656, 157.4795379638672, -14.635998725891113, 9.707151412963867, 44.034034729003906, 3.934912919998169, 6.323390007019043, 23.362184524536133, 3.286733388900757, 2.768211841583252, 16.269458770751953, 10.260662078857422, 8.10427188873291, 3.2276275157928467, -9.759685516357422, -0.1509188562631607, 11.493916511535645, 0.2475379854440689, -2.766533136367798, 4.84512996673584]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a04Wc.wav,anger,I could tell him Tonight,female,"[-323.93359375, 159.80740356445312, -23.328012466430664, -6.969396591186523, 22.927886962890625, -12.45640754699707, -4.196238040924072, 7.86106538772583, -14.267562866210938, -7.083927154541016, 6.285027503967285, -4.591378211975098, -0.40327152609825134, 1.6174339056015015, -14.581866264343262, -8.69421100616455, 2.750242233276367, -7.405206680297852, -8.426671028137207, -2.846815824508667]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a05Aa.wav,anxiety/fear,The black piece of paper is up there next to the piece of wood,female,"[-280.73388671875, 155.98951721191406, -19.214998245239258, 8.57091236114502, 42.008663177490234, 1.7199482917785645, 7.52797269821167, 22.55524253845215, 1.820923924446106, 5.174612998962402, 13.331217765808105, -0.12514355778694153, 3.250124454498291, 4.949824333190918, -9.547150611877441, -0.803149402141571, 10.734603881835938, -2.5796046257019043, -6.667962074279785, -1.666198492050171]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a05Ea.wav,disgust,The black piece of paper is up there next to the piece of wood,female,"[-264.152587890625, 160.8524932861328, -26.79562759399414, 9.938581466674805, 40.37205123901367, -5.92493200302124, 10.431441307067871, 27.28998374938965, -1.8653560876846313, 6.554382801055908, 17.763957977294922, -5.923357963562012, -4.11583137512207, 2.702702045440674, -15.341708183288574, -8.099520683288574, 8.512652397155762, -3.885336399078369, -7.496470928192139, 1.7109276056289673]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a05Lc.wav,boredom,The black piece of paper is up there next to the piece of wood,female,"[-317.99481201171875, 168.48641967773438, -24.056371688842773, 13.944765090942383, 55.99320602416992, 4.634796619415283, 3.391885280609131, 22.902305603027344, 2.3084888458251953, 2.544835090637207, 12.685824394226074, 0.4466667175292969, 1.8759639263153076, 5.255025386810303, -6.4947404861450195, -0.43314722180366516, 8.076102256774902, -3.406160831451416, -5.6242876052856445, -0.7070097327232361]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a05Nb.wav,neutral,The black piece of paper is up there next to the piece of wood,female,"[-360.944091796875, 133.8628692626953, -4.774507522583008, 14.944610595703125, 45.03459930419922, 13.800297737121582, 9.778977394104004, 17.20071792602539, 3.198345899581909, 4.649725914001465, 8.837132453918457, 0.8517395257949829, 5.3126630783081055, 3.378166437149048, -11.199419975280762, -3.1112868785858154, 7.429294586181641, -4.913524150848389, -7.654638290405273, 0.7532232403755188]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a05Tc.wav,sadness,The black piece of paper is up there next to the piece of wood,female,"[-309.017333984375, 173.37896728515625, -24.662763595581055, 8.375833511352539, 46.795169830322266, 0.004411737900227308, 5.698464393615723, 22.953712463378906, -0.3487803637981415, 4.957296371459961, 18.593772888183594, 6.567155361175537, 8.697364807128906, 7.784004211425781, -9.26830768585205, -0.3670096695423126, 11.190001487731934, -2.107572078704834, -2.1832597255706787, 6.378375053405762]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a05Wa.wav,anger,The black piece of paper is up there next to the piece of wood,female,"[-334.2683410644531, 134.79379272460938, -13.859643936157227, 1.6610896587371826, 29.518207550048828, -1.0595345497131348, 0.5247312784194946, 10.519255638122559, -5.510933876037598, -2.685206651687622, 4.666128158569336, -4.064630031585693, 0.5608961582183838, 2.1898534297943115, -13.103850364685059, -9.86415958404541, 1.739799976348877, -5.0380940437316895, -8.297455787658691, -3.903841018676758]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a05Wc.wav,anger,The black piece of paper is up there next to the piece of wood,female,"[-321.28662109375, 114.2653579711914, -24.551837921142578, -10.83275032043457, 15.687002182006836, -9.709250450134277, -6.759395599365234, 0.20999030768871307, -14.759986877441406, -7.754297733306885, 1.343362808227539, -7.984263896942139, -3.7710368633270264, -0.17394444346427917, -10.345366477966309, -3.7080116271972656, 4.095355987548828, -8.769344329833984, -11.976215362548828, -4.175939559936523]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a07Fd.wav,happiness,It will be ready in seven hours,female,"[-333.39190673828125, 129.82823181152344, -29.454204559326172, 3.7940673828125, 33.0247688293457, -4.691041469573975, 6.463616371154785, 14.53221321105957, -14.170658111572266, -5.163166046142578, 10.187825202941895, -3.858135223388672, -1.2218234539031982, 0.4498291015625, -15.816197395324707, -6.239510536193848, 6.373416423797607, -9.33045768737793, -11.677757263183594, 0.019086483865976334]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a07Lb.wav,boredom,It will be ready in seven hours,female,"[-274.87451171875, 139.24220275878906, -21.777151107788086, 16.1195125579834, 51.921958923339844, 7.557462215423584, 11.482003211975098, 27.37704849243164, 0.9139983654022217, 0.3739317059516907, 15.83157730102539, 4.931901931762695, 2.219224214553833, 4.4627156257629395, -9.567792892456055, -8.042089462280273, 4.229616165161133, -1.35647451877594, -5.484585285186768, -1.688724160194397]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a07Na.wav,neutral,It will be ready in seven hours,female,"[-296.3960266113281, 154.28567504882812, -6.729946613311768, 21.280397415161133, 49.34525680541992, 8.16066837310791, 12.561694145202637, 23.87428855895996, 1.3888578414916992, 4.006451606750488, 12.415263175964355, 2.521944046020508, 7.648296356201172, 4.838720321655273, -14.307212829589844, -5.220728874206543, 8.457673072814941, -3.8108713626861572, -6.523105144500732, 0.8390023112297058]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a07Tc.wav,sadness,It will be ready in seven hours,female,"[-266.4441223144531, 152.23178100585938, -18.660362243652344, 11.430869102478027, 42.60093307495117, 3.800489664077759, 14.415884971618652, 26.301286697387695, -0.6997977495193481, 5.678132057189941, 20.462093353271484, 7.507767677307129, 7.883998870849609, 6.697657585144043, -9.865324020385742, -0.5584224462509155, 12.246685981750488, -1.4559592008590698, -4.115602016448975, 4.402481555938721]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a07Wb.wav,anger,It will be ready in seven hours,female,"[-348.7356262207031, 133.81358337402344, -34.202571868896484, 0.3718690574169159, 32.716312408447266, -5.1839776039123535, 4.956073760986328, 12.577892303466797, -13.68921947479248, -3.0394551753997803, 8.52278995513916, -6.036431312561035, 2.406099319458008, 3.7443559169769287, -18.715829849243164, -9.552459716796875, 6.50732421875, -7.917161464691162, -10.816967964172363, -2.5469412803649902]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b01Ab.wav,anxiety/fear,What kind of bags are there under the table,female,"[-264.69586181640625, 157.04148864746094, -34.77125930786133, 2.782620429992676, 40.939186096191406, -5.164761066436768, 5.1496663093566895, 24.6925048828125, -1.0977281332015991, 0.564148485660553, 11.445833206176758, -1.1194151639938354, 2.470776081085205, 1.5553921461105347, -16.225847244262695, -4.499755382537842, 10.166866302490234, -6.140229225158691, -11.35898494720459, -2.3109161853790283]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b01Ec.wav,disgust,What kind of bags are there under the table,female,"[-249.09530639648438, 157.65916442871094, -34.96511459350586, 10.249929428100586, 43.23661804199219, -7.501005172729492, 12.1658296585083, 31.8194637298584, -3.4240713119506836, 0.7564861178398132, 16.144180297851562, -1.0782575607299805, 2.3622281551361084, 6.8151021003723145, -11.464115142822266, -4.23506498336792, 8.623414039611816, -4.454257488250732, -5.409046173095703, -0.09304588288068771]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b01Fc.wav,happiness,What kind of bags are there under the table,female,"[-274.56982421875, 125.59283447265625, -23.089515686035156, 2.5280873775482178, 30.195186614990234, -2.6031901836395264, 8.803790092468262, 20.40247344970703, -7.508760452270508, -6.580024719238281, 6.946141719818115, -3.9404525756835938, -2.3957722187042236, 2.4914486408233643, -11.159640312194824, -8.969592094421387, 2.3217132091522217, -5.928253650665283, -9.978766441345215, -3.460604190826416]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b01Ld.wav,boredom,What kind of bags are there under the table,female,"[-311.9129333496094, 152.70291137695312, -20.708101272583008, 9.090827941894531, 49.13438415527344, 10.487675666809082, 9.984460830688477, 23.036840438842773, 3.3826096057891846, 1.755788803100586, 5.654180526733398, -4.20446252822876, 3.9680044651031494, 4.948138236999512, -13.403825759887695, -4.752408504486084, 10.527624130249023, -2.5205633640289307, -8.375009536743164, -1.7834718227386475]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b01Nc.wav,neutral,What kind of bags are there under the table,female,"[-284.2325439453125, 153.41824340820312, -18.922725677490234, 16.81062889099121, 52.59947967529297, 7.923654556274414, 12.080336570739746, 27.474225997924805, 2.5051486492156982, 0.6587252020835876, 9.758598327636719, 2.086892604827881, 9.179739952087402, 7.997897624969482, -12.306416511535645, -4.754315376281738, 9.066556930541992, -4.085161209106445, -7.247587203979492, 0.948398768901825]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b01Wa.wav,anger,What kind of bags are there under the table,female,"[-297.5130920410156, 152.0760955810547, -28.320737838745117, -4.198334217071533, 28.136695861816406, -7.2951459884643555, 5.75246000289917, 20.180622100830078, -6.969514846801758, -5.59966516494751, 5.1253275871276855, -5.535119533538818, 0.4155356287956238, 1.4912397861480713, -17.908733367919922, -11.035975456237793, 4.308407783508301, -6.476866722106934, -10.729421615600586, -4.019660949707031]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b02Fb.wav,happiness,They just carried it up and now they're going down again,female,"[-331.4091491699219, 137.08847045898438, -5.551774978637695, 10.08381462097168, 31.47103500366211, -0.39604729413986206, 4.983114242553711, 12.416658401489258, -7.711643695831299, -0.7247915267944336, 11.282576560974121, 0.20326361060142517, 0.615879237651825, 0.6962117552757263, -12.201362609863281, -4.895394325256348, 5.548375129699707, -4.952254295349121, -5.763253688812256, 1.6655545234680176]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b02Lc.wav,boredom,They just carried it up and now they're going down again,female,"[-313.9169616699219, 140.4888153076172, 7.410512447357178, 23.755550384521484, 48.890079498291016, 11.298818588256836, 2.230884075164795, 13.565291404724121, 2.7932851314544678, 1.0654935836791992, 8.07091999053955, 5.615370273590088, 7.495621204376221, 4.736570358276367, -6.141483306884766, -1.2251399755477905, 5.7572174072265625, -2.655360221862793, -4.493465423583984, 0.7959455251693726]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b02Nb.wav,neutral,They just carried it up and now they're going down again,female,"[-289.294189453125, 157.25901794433594, -4.919837951660156, 20.759815216064453, 45.01502990722656, 1.163024663925171, 6.0587005615234375, 20.572681427001953, 1.6733938455581665, 4.4431657791137695, 11.006546974182129, 2.796710729598999, 9.940001487731934, 4.879932403564453, -14.281039237976074, -2.1374378204345703, 8.928895950317383, -6.841242790222168, -5.8459696769714355, 3.4200990200042725]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b02Wa.wav,anger,They just carried it up and now they're going down again,female,"[-286.8274230957031, 159.80087280273438, -22.063880920410156, -6.719519138336182, 20.755508422851562, -14.687023162841797, -6.145359516143799, 4.748203754425049, -15.818103790283203, -7.020083904266357, 2.8127951622009277, -9.42686653137207, -0.8815138936042786, 1.5676547288894653, -17.742753982543945, -9.8805513381958, 4.256640911102295, -7.841983795166016, -9.727328300476074, -2.2453927993774414]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b03Ac.wav,anxiety/fear,I used to go home on the weekends and visit Agnes,female,"[-278.05181884765625, 163.42494201660156, -13.495501518249512, 11.586743354797363, 37.361534118652344, -7.712800979614258, 2.6823670864105225, 21.619693756103516, -0.6835237145423889, 4.656898498535156, 17.384870529174805, 2.5888566970825195, 2.3914740085601807, 3.512799024581909, -11.752082824707031, -4.006701469421387, 8.559873580932617, -3.0773513317108154, -4.472226619720459, 2.901170015335083]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b03Ed.wav,disgust,I used to go home on the weekends and visit Agnes,female,"[-331.4969787597656, 152.88072204589844, -4.710079669952393, 15.120953559875488, 37.54784393310547, 0.19712959229946136, 8.350065231323242, 20.893936157226562, 2.4991660118103027, 10.107346534729004, 16.784088134765625, -0.5373835563659668, 2.678565502166748, 4.910656452178955, -13.748322486877441, -8.651233673095703, 6.627340793609619, -1.1680121421813965, -4.0246758460998535, 0.9768692851066589]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b03Fd.wav,happiness,I used to go home on the weekends and visit Agnes,female,"[-334.6544189453125, 157.0885009765625, -23.819990158081055, 3.3601222038269043, 31.08066749572754, -12.851162910461426, -2.8373024463653564, 11.47441577911377, -10.903142929077148, 0.9014527201652527, 12.671673774719238, -8.514483451843262, -5.771332740783691, 2.6700069904327393, -11.58778190612793, -4.655264377593994, 7.444998741149902, -8.103231430053711, -10.929163932800293, 1.9678677320480347]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b03Lb.wav,boredom,I used to go home on the weekends and visit Agnes,female,"[-294.0526123046875, 150.9506378173828, 4.386172771453857, 16.044109344482422, 51.50282669067383, 15.493734359741211, -1.4561082124710083, 16.08844566345215, 13.365367889404297, 4.34142541885376, 8.165350914001465, 11.58854866027832, 10.259706497192383, 1.1880825757980347, -7.408847808837891, -0.1875249147415161, 5.530756950378418, -2.3571090698242188, -3.0279202461242676, 1.8169302940368652]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b03Na.wav,neutral,I used to go home on the weekends and visit Agnes,female,"[-283.33349609375, 162.6317138671875, -1.4776536226272583, 17.934654235839844, 46.38392639160156, 4.109646320343018, 1.1306003332138062, 16.65247344970703, 3.252081871032715, 3.6526122093200684, 10.315897941589355, 4.073076248168945, 7.224083423614502, 2.7076759338378906, -12.15538501739502, -2.8052217960357666, 7.234386444091797, -5.218759536743164, -7.332693099975586, 0.2095157504081726]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b03Td.wav,sadness,I used to go home on the weekends and visit Agnes,female,"[-292.2149963378906, 145.4249725341797, 2.488858222961426, 13.869294166564941, 39.389015197753906, 6.415135383605957, 6.151525497436523, 22.52004051208496, 6.826869010925293, 1.551125407218933, 13.82827091217041, 13.28700065612793, 9.785578727722168, 4.539972305297852, -6.049300193786621, -1.6508078575134277, 7.815777778625488, 1.6318436861038208, -2.4702463150024414, 2.7235279083251953]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b03Wc.wav,anger,I used to go home on the weekends and visit Agnes,female,"[-317.1829528808594, 144.06048583984375, -16.207855224609375, -6.345800876617432, 13.978555679321289, -16.955610275268555, -4.5276947021484375, 7.324396133422852, -14.783191680908203, -6.805635452270508, 7.718317985534668, -5.742907524108887, -5.876385688781738, -1.7785576581954956, -14.384195327758789, -9.341007232666016, 2.7411723136901855, -6.637531280517578, -10.399059295654297, -3.72639799118042]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b09Ab.wav,anxiety/fear,I want to take that away and then go have a drink with Karl,female,"[-271.9437561035156, 158.21279907226562, -27.00432777404785, 2.8813865184783936, 40.38905715942383, -0.19536706805229187, 7.713357925415039, 23.927087783813477, -1.7694905996322632, 0.28533628582954407, 14.828387260437012, 4.489409446716309, 5.278687953948975, 5.7778191566467285, -8.297062873840332, 0.27268514037132263, 11.709632873535156, -1.6565929651260376, -4.182753562927246, 3.548219680786133]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b09Ec.wav,disgust,I want to take that away and then go have a drink with Karl,female,"[-276.2736511230469, 169.47866821289062, -14.648870468139648, 7.694004058837891, 41.830562591552734, 6.6387200355529785, 16.779075622558594, 29.981016159057617, 3.831336736679077, 4.284732818603516, 11.040425300598145, -3.325340986251831, 1.7997380495071411, 1.948132038116455, -19.933429718017578, -11.723115921020508, 7.599946975708008, -3.424076557159424, -7.959592342376709, 1.3721301555633545]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b09Fb.wav,happiness,I want to take that away and then go have a drink with Karl,female,"[-311.5683288574219, 146.61505126953125, -17.626665115356445, -2.1379098892211914, 29.36296844482422, 2.769747495651245, 9.181654930114746, 13.775893211364746, -9.698108673095703, -1.466979742050171, 10.467838287353516, -4.572299957275391, -3.046055793762207, 1.9588322639465332, -11.792218208312988, -7.573721408843994, 3.9838459491729736, -6.248006343841553, -9.735220909118652, -1.904750108718872]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b09Fc.wav,happiness,I want to take that away and then go have a drink with Karl,female,"[-303.4129333496094, 159.60679626464844, -13.193466186523438, 7.162800312042236, 37.742130279541016, 5.144968032836914, 13.211893081665039, 18.699695587158203, -8.193540573120117, -0.04697766900062561, 12.157873153686523, -3.511538028717041, -0.05258156731724739, 4.297771453857422, -12.006997108459473, -5.420240879058838, 7.511242866516113, -6.584402561187744, -10.943124771118164, -0.2975187599658966]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b09La.wav,boredom,I want to take that away and then go have a drink with Karl,female,"[-310.19451904296875, 164.5126190185547, -3.8192107677459717, 8.975456237792969, 44.57461166381836, 12.30666446685791, 10.430776596069336, 25.88175392150879, 8.27233600616455, 0.40640565752983093, 8.710774421691895, 6.967374801635742, 6.344036102294922, 1.6617310047149658, -9.034112930297852, -1.367768406867981, 8.848877906799316, -0.10318797081708908, -5.659698963165283, -2.387838363647461]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b09Na.wav,neutral,I want to take that away and then go have a drink with Karl,female,"[-306.5880432128906, 156.68771362304688, -7.654900074005127, 11.087345123291016, 42.524574279785156, 9.071680068969727, 11.606671333312988, 21.952848434448242, 1.3589451313018799, 0.8687456250190735, 8.657737731933594, 2.5615978240966797, 6.493982791900635, 1.50901460647583, -14.906679153442383, -4.636752605438232, 7.036830425262451, -5.653463363647461, -7.583319187164307, 0.2387780398130417]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b09Wa.wav,anger,I want to take that away and then go have a drink with Karl,female,"[-307.74151611328125, 140.93284606933594, -17.02924346923828, -13.340617179870605, 13.273168563842773, -7.750063896179199, 0.9121695756912231, 9.534770011901855, -10.957697868347168, -9.638114929199219, -0.0023574489168822765, -6.12816047668457, -1.159229040145874, -0.027271457016468048, -14.679268836975098, -10.472057342529297, 0.6323608160018921, -7.180262565612793, -9.524069786071777, -3.59641432762146]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b10Ec.wav,disgust,It will be in the place where we always put it,female,"[-299.8162536621094, 162.968017578125, -17.170734405517578, 4.636289119720459, 30.71346092224121, -1.7166606187820435, 19.079273223876953, 27.460750579833984, -6.9351372718811035, 1.9087430238723755, 14.926929473876953, -7.804638862609863, -6.078554630279541, 2.6566193103790283, -14.002269744873047, -10.455787658691406, 3.705355644226074, -6.049036026000977, -9.624574661254883, -3.3417913913726807]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b10Fa.wav,happiness,It will be in the place where we always put it,female,"[-317.1712646484375, 149.50936889648438, -20.828311920166016, 4.837947368621826, 35.41925811767578, -0.10933290421962738, 6.445054054260254, 11.482107162475586, -11.903615951538086, 0.08919160813093185, 10.24587345123291, -5.912692546844482, 1.0072100162506104, 3.218776226043701, -16.305387496948242, -5.977903366088867, 8.981128692626953, -8.164203643798828, -13.067899703979492, -1.4506511688232422]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b10La.wav,boredom,It will be in the place where we always put it,female,"[-300.7027587890625, 163.92242431640625, -0.8002601265907288, 15.213774681091309, 52.07302474975586, 18.181339263916016, 11.95544719696045, 24.590635299682617, 8.446605682373047, 1.0158774852752686, 6.373679161071777, 4.8295722007751465, 8.070208549499512, 3.758615016937256, -10.318079948425293, -5.024364948272705, 4.986530303955078, -2.391409397125244, -5.997151851654053, -2.2277426719665527]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b10Nc.wav,neutral,It will be in the place where we always put it,female,"[-299.51885986328125, 163.7928924560547, -4.491575717926025, 15.584226608276367, 47.883392333984375, 11.21545696258545, 10.532427787780762, 20.511695861816406, 1.5246024131774902, 1.4959477186203003, 6.900213718414307, 0.40240395069122314, 8.342429161071777, 4.307701110839844, -16.047391891479492, -6.341463565826416, 7.72010612487793, -6.1626296043396, -9.6478271484375, -0.37383022904396057]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b10Wa.wav,anger,It will be in the place where we always put it,female,"[-297.50860595703125, 159.3406982421875, -19.289871215820312, -7.266192436218262, 22.55629539489746, -5.658224582672119, 3.688448905944824, 10.2347993850708, -13.860475540161133, -5.976308345794678, 5.866631031036377, -5.326448440551758, 1.1938271522521973, 2.591794729232788, -16.661897659301758, -9.491130828857422, 5.035165786743164, -7.643848419189453, -12.257745742797852, -4.405019760131836]"
datasources\EMO_DB\EMO_DB_DATA\wav\13b10Wc.wav,anger,It will be in the place where we always put it,female,"[-336.9302978515625, 159.54978942871094, -29.864500045776367, -14.646964073181152, 21.265409469604492, -6.460629463195801, 2.3122432231903076, 7.381658554077148, -19.04591941833496, -10.325811386108398, 3.2541162967681885, -8.342386245727539, -1.3196183443069458, 1.513615608215332, -18.155881881713867, -11.714902877807617, 3.2784180641174316, -8.424074172973633, -11.469612121582031, -2.9454824924468994]"
datasources\EMO_DB\EMO_DB_DATA\wav\14a01Aa.wav,anxiety/fear,The tablecloth is lying on the fridge,female,"[-289.3538818359375, 162.7906951904297, -34.40655517578125, 3.629276752471924, 42.41300582885742, -11.098308563232422, -4.812872409820557, 20.73831558227539, -1.1232054233551025, 3.2553160190582275, 18.73867416381836, -1.1295723915100098, -7.664567947387695, 0.09531768411397934, -8.339943885803223, -4.674033164978027, 5.333425045013428, -4.290901184082031, -7.218838214874268, 0.02432473562657833]"
datasources\EMO_DB\EMO_DB_DATA\wav\14a01Ac.wav,anxiety/fear,The tablecloth is lying on the fridge,female,"[-297.8565673828125, 176.7423553466797, -42.835601806640625, -3.547280788421631, 43.832576751708984, -14.968732833862305, -14.329096794128418, 15.950949668884277, -5.42608118057251, -7.283290863037109, 10.486276626586914, -0.9586383700370789, -6.480057716369629, -2.539513349533081, -12.164299964904785, -8.15062141418457, 3.973628520965576, -2.1654295921325684, -6.54042387008667, -4.29168701171875]"
datasources\EMO_DB\EMO_DB_DATA\wav\14a01Ea.wav,disgust,The tablecloth is lying on the fridge,female,"[-312.06488037109375, 159.30337524414062, -29.38711929321289, 3.633646249771118, 37.72319412231445, -11.63473892211914, -3.7549383640289307, 19.457347869873047, -0.3963230550289154, 5.445053577423096, 17.497291564941406, -2.425117015838623, -5.323193550109863, 1.5328229665756226, -10.414085388183594, -7.40891170501709, 3.9349560737609863, -3.426882743835449, -5.182010650634766, 0.19761094450950623]"
datasources\EMO_DB\EMO_DB_DATA\wav\14a01Na.wav,neutral,The tablecloth is lying on the fridge,female,"[-350.388427734375, 163.70797729492188, -5.046797275543213, 18.05571937561035, 48.58213806152344, -0.2907176911830902, -3.8829903602600098, 17.694046020507812, 0.7444183230400085, -1.638812780380249, 13.115816116333008, 5.582854270935059, 1.1553233861923218, 3.9056525230407715, -7.205990314483643, -9.636056900024414, 1.030133843421936, 1.524969458580017, -1.208284854888916, -0.7928266525268555]"
datasources\EMO_DB\EMO_DB_DATA\wav\14a01Wa.wav,anger,The tablecloth is lying on the fridge,female,"[-319.3550720214844, 147.85067749023438, -36.21391677856445, -9.566112518310547, 32.59318542480469, -12.157374382019043, -14.53406047821045, 11.966644287109375, -2.4481282234191895, -9.129334449768066, 3.5539162158966064, 1.0671234130859375, -2.326476573944092, -4.483640670776367, -12.510213851928711, -6.577154159545898, 2.3882715702056885, -3.6766436100006104, -5.773659706115723, -2.6363308429718018]"
datasources\EMO_DB\EMO_DB_DATA\wav\14a01Wc.wav,anger,The tablecloth is lying on the fridge,female,"[-345.1878662109375, 160.32461547851562, -41.42505645751953, -5.918562412261963, 38.831756591796875, -12.283076286315918, -10.84453010559082, 15.394221305847168, -5.329991817474365, -7.848637580871582, 7.551281452178955, -1.4138109683990479, -3.4683470726013184, 1.1676634550094604, -7.440263271331787, -3.5798418521881104, 4.835871696472168, -3.9139347076416016, -6.22676420211792, -0.7352546453475952]"
datasources\EMO_DB\EMO_DB_DATA\wav\14a02Ab.wav,anxiety/fear,She wants to hand that in on Wednesday,female,"[-307.9570617675781, 172.27276611328125, -33.796958923339844, 1.8451411724090576, 43.26985549926758, -8.459256172180176, -2.0669400691986084, 23.017051696777344, -1.328057050704956, -0.8158125877380371, 14.868013381958008, -0.2836507260799408, -5.6494293212890625, -2.0645041465759277, -12.045092582702637, -5.502020835876465, 5.7815423011779785, -5.954441070556641, -11.59687614440918, -4.887657165527344]"
datasources\EMO_DB\EMO_DB_DATA\wav\14a02Ea.wav,disgust,She wants to hand that in on Wednesday,female,"[-343.47216796875, 155.85850524902344, -24.767147064208984, 5.43096399307251, 38.22216796875, -6.79053258895874, 2.900951862335205, 22.92574119567871, -2.9653091430664062, 0.7674489617347717, 18.094409942626953, 1.1725313663482666, -3.5575151443481445, 4.477299213409424, -8.039984703063965, -10.475797653198242, 1.0363069772720337, -3.397338628768921, -8.160258293151855, -3.641084909439087]"
datasources\EMO_DB\EMO_DB_DATA\wav\14a02Fd.wav,happiness,She wants to hand that in on Wednesday,female,"[-325.7838134765625, 158.18917846679688, -33.406394958496094, -8.362153053283691, 36.523624420166016, -2.3140361309051514, -3.5872726440429688, 13.925713539123535, -5.222986698150635, -6.919561862945557, 5.8953962326049805, -0.8467984795570374, -2.233651638031006, -1.5830044746398926, -10.720003128051758, -5.5454487800598145, 1.6324617862701416, -6.180622577667236, -5.69140100479126, -1.2015434503555298]"
datasources\EMO_DB\EMO_DB_DATA\wav\14a02La.wav,boredom,She wants to hand that in on Wednesday,female,"[-345.0784912109375, 154.03677368164062, -1.9285789728164673, 17.195730209350586, 47.43943786621094, 5.87988805770874, 2.350447416305542, 20.14970588684082, 2.408113479614258, -0.10898511111736298, 14.361769676208496, 3.445862054824829, -5.424252510070801, 1.7791727781295776, -1.4343043565750122, -4.58607292175293, 2.2672083377838135, 1.0732152462005615, -4.0059990882873535, -2.0567901134490967]"
